ID,probability
TEST_00000,0.0020666555501520634
TEST_00001,0.002230473328381777
TEST_00002,0.1493755728006363
TEST_00003,0.10401538014411926
TEST_00004,0.5054465532302856
TEST_00005,0.13070879876613617
TEST_00006,0.45790016651153564
TEST_00007,0.35924115777015686
TEST_00008,0.2718738615512848
TEST_00009,0.0010356629500165582
TEST_00010,0.04870838299393654
TEST_00011,0.4641622006893158
TEST_00012,0.3822464048862457
TEST_00013,0.40293949842453003
TEST_00014,0.2928473949432373
TEST_00015,0.002006443217396736
TEST_00016,0.22145943343639374
TEST_00017,0.3663407862186432
TEST_00018,0.21935878694057465
TEST_00019,0.6674135327339172
TEST_00020,0.2546442151069641
TEST_00021,0.39700597524642944
TEST_00022,0.27697673439979553
TEST_00023,0.21184846758842468
TEST_00024,0.3956848382949829
TEST_00025,0.0009086322388611734
TEST_00026,0.11745404452085495
TEST_00027,0.4691360294818878
TEST_00028,0.17497871816158295
TEST_00029,0.19079701602458954
TEST_00030,0.4439089894294739
TEST_00031,0.18341729044914246
TEST_00032,0.16690871119499207
TEST_00033,0.17135851085186005
TEST_00034,0.4050116539001465
TEST_00035,0.0020777680911123753
TEST_00036,0.13167692720890045
TEST_00037,0.3160706162452698
TEST_00038,0.23038458824157715
TEST_00039,0.005388658028095961
TEST_00040,0.19700945913791656
TEST_00041,0.15551988780498505
TEST_00042,0.31085339188575745
TEST_00043,0.3035629391670227
TEST_00044,0.31586432456970215
TEST_00045,0.5192534327507019
TEST_00046,0.5083287954330444
TEST_00047,0.2247895747423172
TEST_00048,0.12781259417533875
TEST_00049,0.3909827470779419
TEST_00050,0.2592509686946869
TEST_00051,0.16744151711463928
TEST_00052,0.11862827837467194
TEST_00053,0.574853777885437
TEST_00054,0.002809252357110381
TEST_00055,0.41800200939178467
TEST_00056,0.31439754366874695
TEST_00057,0.21466268599033356
TEST_00058,0.5127602815628052
TEST_00059,0.18533287942409515
TEST_00060,0.0018078883877024055
TEST_00061,0.16859522461891174
TEST_00062,0.33302396535873413
TEST_00063,0.33059585094451904
TEST_00064,0.2040269523859024
TEST_00065,0.00240892730653286
TEST_00066,0.26892346143722534
TEST_00067,0.19496160745620728
TEST_00068,0.29050904512405396
TEST_00069,0.4747243821620941
TEST_00070,0.3975289762020111
TEST_00071,0.3491361737251282
TEST_00072,0.19864362478256226
TEST_00073,0.25292089581489563
TEST_00074,0.14074334502220154
TEST_00075,0.24515241384506226
TEST_00076,0.013733576983213425
TEST_00077,0.00183839350938797
TEST_00078,0.12925197184085846
TEST_00079,0.20308411121368408
TEST_00080,0.3483882546424866
TEST_00081,0.0008895414648577571
TEST_00082,0.21369652450084686
TEST_00083,0.17911610007286072
TEST_00084,0.43944546580314636
TEST_00085,0.3888058364391327
TEST_00086,0.0008685033535584807
TEST_00087,0.393264502286911
TEST_00088,0.1290697455406189
TEST_00089,0.38166728615760803
TEST_00090,0.24391207098960876
TEST_00091,0.09868795424699783
TEST_00092,0.35731270909309387
TEST_00093,0.5553760528564453
TEST_00094,0.0006516581634059548
TEST_00095,0.0010120426304638386
TEST_00096,0.45717835426330566
TEST_00097,0.11526007205247879
TEST_00098,0.3750142753124237
TEST_00099,0.280619740486145
TEST_00100,0.10488197952508926
TEST_00101,0.20491017401218414
TEST_00102,0.36224377155303955
TEST_00103,0.29282888770103455
TEST_00104,0.35497575998306274
TEST_00105,0.47974008321762085
TEST_00106,0.2689484655857086
TEST_00107,0.0026062855031341314
TEST_00108,0.3320196866989136
TEST_00109,0.0013301302678883076
TEST_00110,0.4199967682361603
TEST_00111,0.3831526041030884
TEST_00112,0.01812262460589409
